Name;Herkunft_Kasten;Maschine;Status_Box_1;Status_Box_2;Status_Box_3;Status_Box_4;Maschine_Box_1;Maschine_Box_2;Maschine_Box_3;Maschine_Box_4;OriginalStatus_Box_1;OriginalStatus_Box_2;OriginalStatus_Box_3
DEPO-D42R6;;;frei;frei;frei;frei;;;;;;;
FETTE-D42-R3;Werkzeugkasten 1;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
DEPO-D42R6.0;;;;;;;;;;;;;
KSOM-D50-PLAN;Werkzeugkasten 3;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D03,5;;;frei;frei;frei;frei;;;;;;;
IKB-D03,3;;;frei;frei;frei;frei;;;;;;;
PLAN-D63-SL;;;frei;frei;frei;frei;;;;;;;
FR-D8R1.5-GARANT;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D6R1-GARANT;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D4R0.5-GARANT;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D16X52;;;frei;frei;frei;frei;;;;;;;
FR-D16X62;;;frei;frei;frei;frei;;;;;;;
FR-D16;;;frei;frei;frei;frei;;;;;;;
FR-D16X85;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D16-TEC65;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D12;;;frei;frei;frei;frei;;;;;;;
FR-D12-TEC65;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D10;;;frei;frei;frei;frei;;;;;;;
FR-D10X60;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D08;;;frei;frei;frei;frei;;;;;;;
FR-D08-TEC65;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D06;;;frei;frei;frei;frei;;;;;;;
FR-D06X40;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D05;;;frei;frei;frei;frei;;;;;;;
FR-D05-TEC65;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D04;;;frei;frei;frei;frei;;;;;;;
FR-D04X32;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D03;;;frei;frei;frei;frei;;;;;;;
FR-D03X30;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D03-TEC65;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D02;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D01.5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
FR-D01.0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
WPB-D26X130;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
WPB-D22X110;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
WPB-D20X100;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
WPB-D18X90;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D19.0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D18.0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D17,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D17.0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D16,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D16,0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D15,0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D14,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D14,0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D13,8;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D13,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D13,0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D12,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D12,0;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D11,8;;;frei;frei;frei;frei;;;;;;;
IKB-D11,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D11,2;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D11,0;;;frei;frei;frei;frei;;;;;;;
IKB-D10,8;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D10,5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D10,2;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D10,0;;;frei;frei;frei;frei;;;;;;;
IKB-D09,8;;;frei;frei;frei;frei;;;;;;;
IKB-D09,3;;;frei;frei;frei;frei;;;;;;;
IKB-D09,0;;;frei;frei;frei;frei;;;;;;;
IKB-D08,8;;;frei;frei;frei;frei;;;;;;;
IKB-D08,5;;;frei;frei;frei;frei;;;;;;;
IKB-D08,2;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D08,1;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D08,0;;;frei;frei;frei;frei;;;;;;;
IKB-D07,8;;;frei;frei;frei;frei;;;;;;;
IKB-D07,4;;;frei;frei;frei;frei;;;;;;;
IKB-D07,0;;;frei;frei;frei;frei;;;;;;;
IKB-D06,8;;;frei;frei;frei;frei;;;;;;;
IKB-D06,6;;;frei;frei;frei;frei;;;;;;;
IKB-D06,2;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D06,1;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
IKB-D06,0;;;frei;frei;frei;frei;;;;;;;
IKB-D05,8;;;frei;frei;frei;frei;;;;;;;
IKB-D05,55;;;frei;frei;frei;frei;;;;;;;
IKB-D05,2;;;frei;frei;frei;frei;;;;;;;
IKB-D05,1;;;frei;frei;frei;frei;;;;;;;
IKB-D05,0;;;frei;frei;frei;frei;;;;;;;
IKB-D04,8;;;frei;frei;frei;frei;;;;;;;
IKB-D04,65;;;frei;frei;frei;frei;;;;;;;
IKB-D04,5;;;frei;frei;frei;frei;;;;;;;
IKB-D04,2;;;frei;frei;frei;frei;;;;;;;
IKB-D04,0;;;frei;frei;frei;frei;;;;;;;
IKB-D03,8;;;frei;frei;frei;frei;;;;;;;
IKB-D03,7;;;frei;frei;frei;frei;;;;;;;
IKB-D03,2;;;frei;frei;frei;frei;;;;;;;
IKB-D03,0;;;frei;frei;frei;frei;;;;;;;
VHM-BO-D02.8;;;frei;frei;frei;frei;;;;;;;
VHM-BO-D02.5;;;gerüstet;gerüstet;gerüstet;gerüstet;;;;;;;
