ID;Name;Kasten;Lade;Fach;Bestand;MinBestand
5;DEPO-D35R6;1;8;1;2;1
8;DEPO-D25R5;1;4;1;1;0
11;INGERSOLL-D40-SL;1;1;12;1;0
200;NC-ANBOHRER;2;10;11;1;0
319;VHM-BO-D02.1;2;5;15;1;0
330;SPIBO-D30.0;1;2;1;1;0
335;SPIBO-D19.5;1;3;1;1;0
336;SPIBO-D19.0;1;4;30;1;0
337;SPIBO-D18.0-G;1;1;1;1;0
340;SPIBO-D16.0;1;1;1;1;0
341;SPIBO-D15.75;1;1;1;1;0
342;SPIBO-D15.0-G;1;1;1;1;0
343;SPIBO-D15.0;1;1;1;1;0
345;SPIBO-D14;1;1;1;1;0
346;SPIBO-D13.5;1;1;1;1;0
347;SPIBO-D12.5;1;1;1;1;0
349;SPIBO-D11.5;1;1;1;1;0
350;SPIBO-D11.0;1;1;1;1;0
352;SPIBO-D10.8;1;1;1;1;0
355;SPIBO-D10.5;1;1;1;1;0
360;SPIBO-D10.0;1;1;1;1;0
361;SPIBO-D09.9;1;1;1;1;0
362;SPIBO-D09.8;1;1;1;1;0
363;SPIBO-D09.7;1;1;1;1;0
364;SPIBO-D09.6;1;1;1;1;0
365;SPIBO-D09.5;1;1;1;1;0
366;SPIBO-D09.4;1;1;1;1;0
367;SPIBO-D09.3;1;1;1;1;0
368;SPIBO-D09.2;1;1;1;1;0
369;SPIBO-D09.1;1;1;1;1;0
370;SPIBO-D09.0;1;1;1;1;0
371;SPIBO-D08.9;1;1;1;1;0
372;SPIBO-D08.8;1;1;1;1;0
373;SPIBO-D08.7;1;1;1;1;0
374;SPIBO-D08.6;1;1;1;1;0
375;SPIBO-D08.5;1;1;1;1;0
376;SPIBO-D08.4;1;1;1;1;0
377;SPIBO-D08.3;1;1;1;1;0
378;SPIBO-D08.2;1;1;1;1;0
379;SPIBO-D08.1;1;1;1;1;0
380;SPIBO-D08.0;1;1;1;1;0
381;SPIBO-D07.9;1;1;1;1;0
382;SPIBO-D07.8;1;1;1;1;0
383;SPIBO-D07.7;1;1;1;1;0
384;SPIBO-D07.6;1;1;1;1;0
385;SPIBO-D07.5;1;1;1;1;0
386;SPIBO-D07.4;1;1;1;1;0
387;SPIBO-D07.3;1;1;1;1;0
388;SPIBO-D07.2;1;1;1;1;0
389;SPIBO-D07.1;1;1;1;1;0
390;SPIBO-D07.0;1;1;1;1;0
391;SPIBO-D06.9;1;1;1;1;0
392;SPIBO-D06.8;1;1;1;1;0
393;SPIBO-D06.7;1;1;1;1;0
394;SPIBO-D06.6;1;1;1;1;0
395;SPIBO-D06.5;1;1;1;1;0
396;SPIBO-D06.4;1;1;1;1;0
397;SPIBO-D06.3;1;1;1;1;0
398;SPIBO-D06.2;1;1;1;1;0
399;SPIBO-D06.1;1;1;1;1;0
400;SPIBO-D06.0;1;1;1;1;0
401;SPIBO-D05.9;1;1;1;1;0
402;SPIBO-D05.8;1;1;1;1;0
403;SPIBO-D05.7;1;1;1;1;0
404;SPIBO-D05.6;1;1;1;1;0
405;SPIBO-D05.5;1;1;1;1;0
406;SPIBO-D05.4;1;1;1;1;0
407;SPIBO-D05.3;1;1;1;1;0
408;SPIBO-D05.2;1;1;1;1;0
409;SPIBO-D05.1;1;1;1;1;0
410;SPIBO-D05.0;1;1;1;1;0
411;SPIBO-D04.9;1;1;1;1;0
412;SPIBO-D04.8;1;1;1;1;0
413;SPIBO-D04.7;1;1;1;1;0
414;SPIBO-D04.6;1;1;1;1;0
415;SPIBO-D04.5;1;1;1;1;0
416;SPIBO-D04.4;1;1;1;1;0
417;SPIBO-D04.3;1;1;1;1;0
418;SPIBO-D04.2;1;1;1;1;0
419;SPIBO-D04.1;1;1;1;1;0
420;SPIBO-D04.0;1;1;1;1;0
421;SPIBO-D03.9;1;1;1;1;0
422;SPIBO-D03.8;1;1;1;1;0
423;SPIBO-D03.7;1;1;1;1;0
424;SPIBO-D03.6;1;1;1;1;0
425;SPIBO-D03.5;1;1;1;1;0
426;SPIBO-D03.4;1;1;1;1;0
427;SPIBO-D03.3;1;1;1;1;0
428;SPIBO-D03.2;1;1;1;1;0
429;SPIBO-D03.1;1;1;1;1;0
430;SPIBO-D03.0;1;1;1;1;0
431;SPIBO-D02.9;1;1;1;1;0
432;SPIBO-D02.8;1;1;1;1;0
433;SPIBO-D02.7;1;1;1;1;0
434;SPIBO-D02.6;1;1;1;1;0
435;SPIBO-D02.5;1;1;1;1;0
436;SPIBO-D02.4;1;1;1;1;0
437;SPIBO-D02.3;1;1;1;1;0
438;SPIBO-D02.2;1;1;1;1;0
439;SPIBO-D02.1;1;1;1;1;0
440;SPIBO-D02.0;1;1;1;1;0
441;SPIBO-D01.9;1;1;1;1;0
442;SPIBO-D01.8;1;1;1;1;0
443;SPIBO-D01.7;1;1;1;1;0
444;SPIBO-D01.6;1;1;1;1;0
445;SPIBO-D01.5;1;1;1;1;0
446;SPIBO-D01.4;1;1;1;1;0
447;SPIBO-D01.3;1;1;1;1;0
448;SPIBO-D01.2;1;1;1;1;0
449;SPIBO-D01.1;1;1;1;1;0
450;SPIBO-D01.0;1;1;1;1;0
451;SPIBO-D10.5G;1;1;1;1;0
452;SPIBO-D10.0G;1;1;1;1;0
453;SPIBO-D09.5G;1;1;1;1;0
454;SPIBO-D08.0-G;1;1;1;1;0
455;SPIBO-D06.5-G;1;1;1;1;0
456;SPIBO-D04.0G;1;1;1;1;0
550;HAGLER-D11.7X1.0;1;1;1;1;0
551;HAGLER-D11.7X1.5;1;1;1;1;0
552;HAGLER-D21.7X1.5;1;1;1;1;0
553;HAGLER-D21.7X2.0;1;1;1;1;0
554;HAGLER-D21.7X3.0;1;1;1;1;0
555;HAGLER-D27.7X2.0;1;1;1;1;0
556;HAGLER-D27.7X3.0;1;1;1;1;0
557;HAGLER-D28.0X1.1;1;1;1;1;0
562;R-FASER-3.0X45G;1;1;1;1;0
626;MGB-M22X1.5;1;1;1;1;0
627;MGB-M22X1;1;1;1;1;0
629;MGB-M18X1,5;1;1;1;1;0
640;MGB-M08X0.75;1;1;1;1;0
641;MGB-M07X1;1;1;1;1;0
642;MGB-M06X0.75;1;1;1;1;0
643;MGB-M06X0.5;1;1;1;1;0
701;REIB-D08.01H7;1;1;1;1;0
705;REIB-D07.0H7;1;1;1;1;0
711;REIB-D06.01H7;1;1;1;1;0
990;HAGLER-D21.7X45G;1;1;1;1;0
999;TRENN-D100-11;1;1;1;1;0
