WZ.Nr.;Name;Durchmesser;Schaft-D;Werkzeug-L;Schneiden-L;Oberer-D;Untere-L;Spannmittel;Halter-D;Gesamt-L;Werkzeug-L;WZ-Hersteller;Sim.Farbe;Status;Pos.
1;DEPO-D42R6;42;35;80;6;-;-;EINSCHRAUB;35;118;80;GARANT;Hellblau;MASCHIENE;
2;FETTE-D42-R3;42;42;80;15;-;-;Einschraub;35;100;80;;Hellblau;GERÜSTET;001
2;DEPO-D42R6.0;ESPRIT;;;;;;;;;;;;;
3;KSOM-D50-PLAN;50;42;80;14,6;;;EINSCHRAUB;40;118;80;;Hellblau;GERÜSTET;002
3,5;IKB-D03,5;3,5;3,5;43;18;6,001;28;Schrumpf;28;95;43;ATORN;Hellblau;MASCHIENE;
3,7;IKB-D03,3;3,3;3,3;40;17;6;25;Schrumpf;28;95;40;ATORN;Hellblau;MASCHIENE;
5;DEPO-D35R6;35;30;42;6;-;-;Einschraub;30;126;42;GARANT;Hellblau;RÜSTWERKZEUG;
6;PLAN-D63-SL;63;62;50;1,5;-;-;KOMBI;40;90;50;MITSUBISHI;Gelb;MASCHIENE;
8;DEPO-D25R5;25;24;90;5;-;-;Einschraub;35;100;90;GARANT;Hellblau;RÜSTWERKZEUG;
11;INGERSOLL-D40-SL;40;39;80;11;;;KOMBI;40;118;80;INGERSOLL;Gelb;RÜSTWERKZEUG;
20;FR-D8R1.5-GARANT;8;7;25;4,8;8;24;Schrumpf;28;80;25;GARANT;Hellblau;GERÜSTET;003
21;FR-D6R1-GARANT;6;5,2;25;3,5;6;20;Schrumpf;28;80;25;GARANT;Hellblau;GERÜSTET;004
22;FR-D4R0.5-GARANT;4;3,6;25;2;6,001;12;Schrumpf;28;80;25;ATORN;Hellblau;GERÜSTET;005
100;FR-D16X52;16;15,5;53;26,5;16;52,5;WELDON;48;84;53;Nachschliff;Hellblau;MASCHIENE;
101;FR-D16X62;16;15;63;26;16,001;62,5;Spannzange ER32;48;100;63;Nachschliff;Dunkelblau;MASCHIENE;
102;FR-D16;16;15,5;43;32;16,001;45;WELDON;48;84,5;43;WEDCO;Hellblau;MASCHIENE;
103;FR-D16X85;16;15;90;22;16,001;85;Spannzange ER32;48;140;90;ATORN;Dunkelblau;GERÜSTET;006
104;FR-D16-TEC65;16;15;51;32;16,001;46;Schrumpf;34;111;51;ATORN;Pink;GERÜSTET;007
110;FR-D12;12;11,7;35,5;26;12,001;35;WELDON;42;105,5;35,5;WEDCO;Hellblau;MASCHIENE;
111;FR-D12-TEC65;12;11;42;25;12,001;37;Schrumpf;32;80;42;ATORN;Pink;GERÜSTET;008
120;FR-D10;10;9,8;40;22;10,001;40;WELDON;35;110;40;WEDCO;Hellblau;MASCHIENE;
121;FR-D10X60;10;9,2;65;14;10,001;60;Spannzange ER25;42;115;65;ATORN;Dunkelblau;GERÜSTET;009
125;FR-D08;8;7,8;35;19;8,001;25;WELDON;28;105;35;WEDCO;Hellblau;MASCHIENE;
126;FR-D08-TEC65;8;7,4;35;20;8,001;30;Schrumpf;28;90;35;ATORN;Pink;GERÜSTET;010
130;FR-D06;6;5,8;25;13;6,001;20;WELDON;25;95;25;WEDCO;Hellblau;MASCHIENE;
131;FR-D06X40;6;5,5;45;10;6,001;40;Spannzange ER16;33;115;45;ATORN;Dunkelblau;GERÜSTET;011
135;FR-D05;5;4,6;21,5;13;6,001;21;WELDON;25;91,5;21,5;ATORN;Hellblau;MASCHIENE;
136;FR-D05-TEC65;5;4,6;25;15;6,001;20;Schrumpf;28;86;25;ATORN;Pink;GERÜSTET;012
140;FR-D04;4;3,6;21,5;11;6,001;21;WELDON;25;91,5;21,5;ATORN;Hellblau;MASCHIENE;
141;FR-D04X32;4;3,7;37;8;6,001;32;Spannzange ER16;33;107;37;ATORN;Dunkelblau;GERÜSTET;013
145;FR-D03;3;2,8;18,5;8;6,001;18;WELDON;25;88,5;18,5;ATORN;Hellblau;MASCHIENE;
146;FR-D03X30;3;2,8;35;5;6,001;30;Spannzange ER16;33;105;35;ATORN;Hellblau;GERÜSTET;014
147;FR-D03-TEC65;3;2,8;20;9;6,001;15;Schrumpf;28;83;20;ATORN;Pink;GERÜSTET;015
